Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,AirTime,Origin,Dest,Distance
2008,1,3,4,2003,1955,2211,2225,116,IAD,TPA,810
2008,1,3,4,754,735,1002,1000,113,IAD,TPA,810
2008,1,3,4,628,620,804,750,76,IND,BWI,515
2008,1,3,4,926,930,1054,1100,78,IND,BWI,515
2008,1,3,4,1829,1755,1959,1925,77,IND,BWI,515
2008,1,3,4,1940,1915,2121,2110,87,IND,JAX,688
2008,1,3,4,1937,1830,2037,1940,230,IND,LAS,1591
2008,1,3,4,1039,1040,1132,1150,219,IND,LAS,1591
2008,1,3,4,617,615,652,650,70,IND,MCI,451
2008,1,3,4,1620,1620,1639,1655,70,IND,MCI,451
2008,1,3,4,706,700,916,915,106,IND,MCO,828
2008,1,3,4,1644,1510,1845,1725,107,IND,MCO,828
2008,1,3,4,1426,1430,1426,1425,39,IND,MDW,162
2008,1,3,4,715,715,720,710,37,IND,MDW,162
2008,1,3,4,1702,1700,1651,1655,35,IND,MDW,162
2008,1,3,4,1029,1020,1021,1010,37,IND,MDW,162
2008,1,3,4,1452,1425,1640,1625,213,IND,PHX,1489
2008,1,3,4,754,745,940,955,205,IND,PHX,1489
2008,1,3,4,1323,1255,1526,1510,110,IND,TPA,838
2008,1,3,4,1416,1325,1512,1435,49,ISP,BWI,220
2008,1,3,4,706,705,807,810,51,ISP,BWI,220
2008,1,3,4,1657,1625,1754,1735,47,ISP,BWI,220
2008,1,3,4,1900,1840,1956,1950,49,ISP,BWI,220
2008,1,3,4,1039,1030,1133,1140,47,ISP,BWI,220
2008,1,3,4,801,800,902,910,53,ISP,BWI,220
2008,1,3,4,1520,1455,1619,1605,50,ISP,BWI,220
2008,1,3,4,1422,1255,1657,1610,143,ISP,FLL,1093
2008,1,3,4,1954,1925,2239,2235,155,ISP,FLL,1093
2008,1,3,4,636,635,921,945,147,ISP,FLL,1093
2008,1,3,4,734,730,958,1020,314,ISP,LAS,2283
2008,1,3,4,2107,1945,2334,2230,134,ISP,MCO,972
2008,1,3,4,1008,1005,1234,1255,135,ISP,MCO,972
2008,1,3,4,712,710,953,1000,142,ISP,MCO,972
2008,1,3,4,1312,1300,1546,1550,140,ISP,MCO,972
2008,1,3,4,1449,1430,1715,1720,134,ISP,MCO,972
2008,1,3,4,1634,1555,1859,1845,134,ISP,MCO,972
2008,1,3,4,831,830,935,955,112,ISP,MDW,765
2008,1,3,4,1812,1650,1927,1815,118,ISP,MDW,765
2008,1,3,4,1127,1105,1235,1230,114,ISP,MDW,765
2008,1,3,4,1424,1355,1531,1520,113,ISP,MDW,765
2008,1,3,4,1326,1230,1559,1530,143,ISP,PBI,1052
2008,1,3,4,1749,1725,2019,2030,138,ISP,PBI,1052
2008,1,3,4,726,720,958,1020,140,ISP,PBI,1052
2008,1,3,4,646,640,929,955,151,ISP,RSW,1101
2008,1,3,4,1153,1140,1428,1440,143,ISP,TPA,1034
2008,1,3,4,1528,1510,1802,1810,144,ISP,TPA,1034
2008,1,3,4,634,635,907,935,142,ISP,TPA,1034
2008,1,3,4,831,830,1148,1140,123,JAN,BWI,888
2008,1,3,4,1450,1435,1806,1745,121,JAN,BWI,888
2008,1,3,4,2245,1730,2354,1850,59,JAN,HOU,359
2008,1,3,4,615,615,724,735,60,JAN,HOU,359
2008,1,3,4,1150,1145,1303,1305,63,JAN,HOU,359
2008,1,3,4,2025,1940,2135,2100,60,JAN,HOU,359
2008,1,3,4,1038,945,1314,1225,81,JAN,MCO,587
2008,1,3,4,1900,1850,2123,2045,97,JAN,MDW,666
2008,1,3,4,700,700,851,900,99,JAN,MDW,666
2008,1,3,4,948,925,959,940,59,JAX,BHM,365
2008,1,3,4,646,620,725,655,77,JAX,BNA,484
2008,1,3,4,1110,1040,1136,1110,72,JAX,BNA,484
2008,1,3,4,1535,1535,1603,1610,74,JAX,BNA,484
2008,1,3,4,1919,1915,1942,1950,71,JAX,BNA,484
2008,1,3,4,1053,1055,1245,1240,96,JAX,BWI,663
2008,1,3,4,1433,1440,1623,1625,95,JAX,BWI,663
2008,1,3,4,2015,2010,2158,2155,91,JAX,BWI,663
2008,1,3,4,2139,2130,2244,2240,54,JAX,FLL,318
2008,1,3,4,1500,1500,1602,1615,49,JAX,FLL,318
2008,1,3,4,850,850,1000,1000,51,JAX,FLL,318
2008,1,3,4,646,645,752,755,46,JAX,FLL,318
2008,1,3,4,1221,1220,1328,1330,54,JAX,FLL,318
2008,1,3,4,1738,1730,1841,1840,49,JAX,FLL,318
2008,1,3,4,1813,1735,1936,1905,125,JAX,HOU,816
2008,1,3,4,802,750,1001,955,104,JAX,IND,688
2008,1,3,4,1820,1825,1946,1955,75,JAX,ORF,543
2008,1,3,4,821,820,953,945,80,JAX,ORF,543
2008,1,3,4,1734,1650,1941,1905,113,JAX,PHL,742
2008,1,3,4,712,700,926,915,120,JAX,PHL,742
2008,1,3,4,1318,1310,1410,1400,39,JAX,TPA,180
2008,1,3,4,958,900,1052,950,36,JAX,TPA,180
2008,1,3,4,1859,1850,1950,1945,38,JAX,TPA,180
2008,1,3,4,1538,1445,1753,1710,60,LAS,ABQ,487
2008,1,3,4,933,935,1151,1200,63,LAS,ABQ,487
2008,1,3,4,2248,2125,102,2345,60,LAS,ABQ,487
2008,1,3,4,1327,1230,1550,1500,65,LAS,ABQ,487
2008,1,3,4,624,625,846,850,61,LAS,ABQ,487
